date,value
2023-05-24,411.0899963378906
2023-05-25,414.6499938964844
2023-05-26,420.0199890136719
2023-05-30,420.17999267578125
2023-05-31,417.8500061035156
2023-06-01,421.82000732421875
2023-06-02,427.9200134277344
2023-06-05,427.1000061035156
2023-06-06,428.0299987792969
2023-06-07,426.54998779296875
2023-06-08,429.1300048828125
2023-06-09,429.8999938964844
2023-06-12,433.79998779296875
2023-06-13,436.6600036621094
2023-06-14,437.17999267578125
2023-06-15,442.6000061035156
2023-06-16,439.4599914550781
2023-06-20,437.17999267578125
2023-06-21,434.94000244140625
2023-06-22,436.510009765625
2023-06-23,433.2099914550781
2023-06-26,431.44000244140625
2023-06-27,436.1700134277344
2023-06-28,436.3900146484375
2023-06-29,438.1099853515625
2023-06-30,443.2799987792969
2023-07-03,443.7900085449219
2023-07-05,443.1300048828125
2023-07-06,439.6600036621094
2023-07-07,438.54998779296875
2023-07-10,439.6600036621094
2023-07-11,442.4599914550781
2023-07-12,446.0199890136719
2023-07-13,449.55999755859375
2023-07-14,449.2799987792969
2023-07-17,450.8399963378906
2023-07-18,454.19000244140625
2023-07-19,455.20001220703125
2023-07-20,452.17999267578125
2023-07-21,452.17999267578125
2023-07-24,454.20001220703125
2023-07-25,455.44000244140625
2023-07-26,455.510009765625
2023-07-27,452.489990234375
2023-07-28,456.9200134277344
2023-07-31,457.7900085449219
2023-08-01,456.4800109863281
2023-08-02,450.1300048828125
2023-08-03,448.8399963378906
2023-08-04,446.80999755859375
2023-08-07,450.7099914550781
2023-08-08,448.75
2023-08-09,445.75
2023-08-10,445.9100036621094
2023-08-11,445.6499938964844
2023-08-14,448.1099853515625
2023-08-15,442.8900146484375
2023-08-16,439.6400146484375
2023-08-17,436.2900085449219
2023-08-18,436.5
2023-08-21,439.3399963378906
2023-08-22,438.1499938964844
2023-08-23,443.0299987792969
2023-08-24,436.8900146484375
2023-08-25,439.9700012207031
2023-08-28,442.760009765625
2023-08-29,449.1600036621094
2023-08-30,451.010009765625
2023-08-31,450.3500061035156
2023-09-01,451.19000244140625
2023-09-05,449.239990234375
2023-09-06,446.2200012207031
2023-09-07,444.8500061035156
2023-09-08,445.5199890136719
2023-09-11,448.45001220703125
2023-09-12,445.989990234375
2023-09-13,446.510009765625
2023-09-14,450.3599853515625
2023-09-15,443.3699951171875
2023-09-18,443.6300048828125
2023-09-19,442.7099914550781
2023-09-20,438.6400146484375
2023-09-21,431.3900146484375
2023-09-22,430.4200134277344
2023-09-25,432.2300109863281
2023-09-26,425.8800048828125
2023-09-27,426.04998779296875
2023-09-28,428.5199890136719
2023-09-29,427.4800109863281
2023-10-02,427.30999755859375
2023-10-03,421.5899963378906
2023-10-04,424.6600036621094
2023-10-05,424.5
2023-10-06,429.5400085449219
2023-10-09,432.2900085449219
2023-10-10,434.5400085449219
2023-10-11,436.32000732421875
2023-10-12,433.6600036621094
2023-10-13,431.5
2023-10-16,436.0400085449219
2023-10-17,436.0199890136719
2023-10-18,430.2099914550781
2023-10-19,426.42999267578125
2023-10-20,421.19000244140625
2023-10-23,420.4599914550781
2023-10-24,423.6300048828125
2023-10-25,417.54998779296875
2023-10-26,412.54998779296875
2023-10-27,410.67999267578125
2023-10-30,415.5899963378906
2023-10-31,418.20001220703125
2023-11-01,422.6600036621094
2023-11-02,430.760009765625
2023-11-03,434.69000244140625
2023-11-06,435.69000244140625
2023-11-07,436.92999267578125
2023-11-08,437.25
2023-11-09,433.8399963378906
2023-11-10,440.6099853515625
2023-11-13,440.19000244140625
2023-11-14,448.7300109863281
2023-11-15,449.67999267578125
2023-11-16,450.2300109863281
2023-11-17,450.7900085449219
2023-11-20,454.260009765625
2023-11-21,453.2699890136719
2023-11-22,455.0199890136719
2023-11-24,455.29998779296875
2023-11-27,454.4800109863281
2023-11-28,454.92999267578125
2023-11-29,454.6099853515625
2023-11-30,456.3999938964844
2023-12-01,459.1000061035156
2023-12-04,456.69000244140625
2023-12-05,456.6000061035156
2023-12-06,454.760009765625
2023-12-07,458.2300109863281
2023-12-08,460.20001220703125
2023-12-11,461.989990234375
2023-12-12,464.1000061035156
2023-12-13,470.5
2023-12-14,472.010009765625
2023-12-15,469.3299865722656
2023-12-18,471.9700012207031
2023-12-19,474.8399963378906
2023-12-20,468.260009765625
2023-12-21,472.70001220703125
2023-12-22,473.6499938964844
2023-12-26,475.6499938964844
2023-12-27,476.510009765625
2023-12-28,476.69000244140625
2023-12-29,475.30999755859375
2024-01-02,472.6499938964844
2024-01-03,468.7900085449219
2024-01-04,467.2799987792969
2024-01-05,467.9200134277344
2024-01-08,474.6000061035156
2024-01-09,473.8800048828125
2024-01-10,476.55999755859375
2024-01-11,476.3500061035156
2024-01-12,476.67999267578125
2024-01-16,474.92999267578125
2024-01-17,472.2900085449219
2024-01-18,476.489990234375
2024-01-19,482.42999267578125
2024-01-22,483.45001220703125
2024-01-23,484.8599853515625
2024-01-24,485.3900146484375
2024-01-25,488.0299987792969
2024-01-26,487.4100036621094
2024-01-29,491.2699890136719
2024-01-30,490.8900146484375
2024-01-31,482.8800048828125
2024-02-01,489.20001220703125
2024-02-02,494.3500061035156
2024-02-05,492.54998779296875
2024-02-06,493.9800109863281
2024-02-07,498.1000061035156
2024-02-08,498.32000732421875
2024-02-09,501.20001220703125
2024-02-12,500.9800109863281
2024-02-13,494.0799865722656
2024-02-14,498.57000732421875
2024-02-15,502.010009765625
2024-02-16,499.510009765625
2024-02-20,496.760009765625
2024-02-21,497.2099914550781
2024-02-22,507.5
2024-02-23,507.8500061035156
2024-02-26,505.989990234375
2024-02-27,506.92999267578125
2024-02-28,506.260009765625
2024-02-29,508.0799865722656
2024-03-01,512.8499755859375
2024-03-04,512.2999877929688
2024-03-05,507.17999267578125
2024-03-06,509.75
2024-03-07,514.8099975585938
2024-03-08,511.7200012207031
2024-03-11,511.2799987792969
2024-03-12,516.780029296875
2024-03-13,515.969970703125
2024-03-14,514.9500122070312
2024-03-15,509.8299865722656
2024-03-18,512.8599853515625
2024-03-19,515.7100219726562
2024-03-20,520.47998046875
2024-03-21,522.2000122070312
2024-03-22,521.2100219726562
2024-03-25,519.77001953125
2024-03-26,518.8099975585938
2024-03-27,523.1699829101562
2024-03-28,523.0700073242188
2024-04-01,522.1599731445312
2024-04-02,518.8400268554688
2024-04-03,519.4099731445312
2024-04-04,513.0700073242188
2024-04-05,518.4299926757812
2024-04-08,518.719970703125
2024-04-09,519.3200073242188
2024-04-10,514.1199951171875
2024-04-11,518.0
2024-04-12,510.8500061035156
2024-04-15,504.45001220703125
2024-04-16,503.5299987792969
2024-04-17,500.54998779296875
2024-04-18,499.5199890136719
2024-04-19,495.1600036621094
2024-04-22,499.7200012207031
2024-04-23,505.6499938964844
2024-04-24,505.4100036621094
2024-04-25,503.489990234375
2024-04-26,508.260009765625
2024-04-29,510.05999755859375
2024-04-30,501.9800109863281
2024-05-01,500.3500061035156
2024-05-02,505.0299987792969
2024-05-03,511.2900085449219
2024-05-06,516.5700073242188
2024-05-07,517.1400146484375
2024-05-08,517.1900024414062
2024-05-09,520.1699829101562
2024-05-10,520.8400268554688
2024-05-13,520.9099731445312
2024-05-14,523.2999877929688
2024-05-15,529.780029296875
2024-05-16,528.6900024414062
2024-05-17,529.4500122070312
2024-05-20,530.0599975585938
2024-05-21,531.3599853515625
2024-05-22,529.8300170898438
2024-05-23,525.9600219726562
2024-05-24,529.4400024414062
2024-05-28,529.8099975585938
2024-05-29,526.0999755859375
2024-05-30,522.6099853515625
2024-05-31,527.3699951171875
2024-06-03,527.7999877929688
2024-06-04,528.3900146484375
2024-06-05,534.6699829101562
2024-06-06,534.6599731445312
2024-06-07,534.010009765625
