date,value
2023-05-24,23.114999771118164
2023-05-25,22.785999298095703
2023-05-26,23.239999771118164
2023-05-30,23.125
2023-05-31,23.474000930786133
2023-06-01,23.875
2023-06-02,23.64299964904785
2023-06-05,23.534000396728516
2023-06-06,23.573999404907227
2023-06-07,23.43899917602539
2023-06-08,24.263999938964844
2023-06-09,24.333999633789062
2023-06-12,23.985000610351562
2023-06-13,23.756000518798828
2023-06-14,24.04400062561035
2023-06-15,23.891000747680664
2023-06-16,24.076000213623047
2023-06-20,23.19300079345703
2023-06-21,22.77400016784668
2023-06-22,22.43600082397461
2023-06-23,22.327999114990234
2023-06-26,22.80500030517578
2023-06-27,22.93899917602539
2023-06-28,22.868000030517578
2023-06-29,22.590999603271484
2023-06-30,22.809999465942383
2023-07-03,22.895999908447266
2023-07-05,23.19700050354004
2023-07-06,22.68600082397461
2023-07-07,23.091999053955078
2023-07-10,23.150999069213867
2023-07-11,23.086000442504883
2023-07-12,24.118999481201172
2023-07-13,24.76799964904785
2023-07-14,25.013999938964844
2023-07-17,24.8439998626709
2023-07-18,25.083999633789062
2023-07-19,25.2189998626709
2023-07-20,24.80500030517578
2023-07-21,24.697999954223633
2023-07-24,24.43600082397461
2023-07-25,24.68000030517578
2023-07-26,24.825000762939453
2023-07-27,24.236000061035156
2023-07-28,24.3700008392334
2023-07-31,24.854000091552734
2023-08-01,24.20800018310547
2023-08-02,23.753999710083008
2023-08-03,23.586000442504883
2023-08-04,23.617000579833984
2023-08-07,23.142000198364258
2023-08-08,22.716999053955078
2023-08-09,22.649999618530273
2023-08-10,22.746000289916992
2023-08-11,22.673999786376953
2023-08-14,22.643999099731445
2023-08-15,22.594999313354492
2023-08-16,22.479999542236328
2023-08-17,22.670000076293945
2023-08-18,22.69499969482422
2023-08-21,23.304000854492188
2023-08-22,23.420000076293945
2023-08-23,24.363000869750977
2023-08-24,24.211000442504883
2023-08-25,24.219999313354492
2023-08-28,24.238000869750977
2023-08-29,24.777000427246094
2023-08-30,24.733999252319336
2023-08-31,24.472000122070312
2023-09-01,24.23200035095215
2023-09-05,23.558000564575195
2023-09-06,23.20599937438965
2023-09-07,22.950000762939453
2023-09-08,22.892000198364258
2023-09-11,23.10300064086914
2023-09-12,23.12700080871582
2023-09-13,22.91200065612793
2023-09-14,22.74799919128418
2023-09-15,23.125999450683594
2023-09-18,23.23200035095215
2023-09-19,23.194000244140625
2023-09-20,23.57900047302246
2023-09-21,23.444000244140625
2023-09-22,23.59600067138672
2023-09-25,23.145000457763672
2023-09-26,22.950000762939453
2023-09-27,22.476999282836914
2023-09-28,22.514999389648438
2023-09-29,22.236000061035156
2023-10-02,21.218000411987305
2023-10-03,21.17799949645996
2023-10-04,20.95599937438965
2023-10-05,20.847999572753906
2023-10-06,21.540000915527344
2023-10-09,21.740999221801758
2023-10-10,21.775999069213867
2023-10-11,21.957000732421875
2023-10-12,21.79199981689453
2023-10-13,22.726999282836914
2023-10-16,22.610000610351562
2023-10-17,22.863000869750977
2023-10-18,22.944000244140625
2023-10-19,22.886999130249023
2023-10-20,23.35099983215332
2023-10-23,23.07200050354004
2023-10-24,22.979999542236328
2023-10-25,22.87700080871582
2023-10-26,22.78700065612793
2023-10-27,22.770000457763672
2023-10-30,23.281999588012695
2023-10-31,22.840999603271484
2023-11-01,22.684999465942383
2023-11-02,22.750999450683594
2023-11-03,23.201000213623047
2023-11-06,23.14900016784668
2023-11-07,22.507999420166016
2023-11-08,22.64699935913086
2023-11-09,22.83099937438965
2023-11-10,22.21500015258789
2023-11-13,22.298999786376953
2023-11-14,23.07900047302246
2023-11-15,23.485000610351562
2023-11-16,23.892000198364258
2023-11-17,23.80900001525879
2023-11-20,23.57900047302246
2023-11-21,23.843000411987305
2023-11-22,23.672000885009766
2023-11-24,24.32900047302246
2023-11-27,24.672000885009766
2023-11-28,24.93000030517578
2023-11-29,25.07200050354004
2023-11-30,25.292999267578125
2023-12-01,25.499000549316406
2023-12-04,24.55500030517578
2023-12-05,24.201000213623047
2023-12-06,23.888999938964844
